Name	Description
XM_018394836	"Fusarium oxysporum f. sp. lycopersici 4287 uncharacterized protein (FOXG_14775), mRNA"
CP045878	Beauveria bassiana strain HN6 chromosome 9
XM_041826172	"Fusarium mangiferae uncharacterized protein (FMAN_15446), partial mRNA"
XM_018394360 2	"Fusarium oxysporum f. sp. lycopersici 4287 uncharacterized protein (FOXG_14292), mRNA"
CP128285 3	Fusarium oxysporum strain Fo5176 chromosome3
CP128285	Fusarium oxysporum strain Fo5176 chromosome3
XM_025726929	"Fusarium venenatum uncharacterized protein (FVRRES_11746), partial mRNA"
XM_018394837	"Fusarium oxysporum f. sp. lycopersici 4287 uncharacterized protein (FOXG_14775), partial mRNA"
XM_018394836 2	"Fusarium oxysporum f. sp. lycopersici 4287 uncharacterized protein (FOXG_14775), mRNA"
XM_046190820	"Fusarium redolens ankyrin repeat-containing domain protein (BKA55DRAFT_545449), partial mRNA"
XM_046272667	"Fusarium solani uncharacterized protein (B0J15DRAFT_441888), partial mRNA"
CP128282	Fusarium oxysporum strain Fo5176 chromosome8
XM_059611743	"Fusarium oxysporum Fo47 uncharacterized protein (FOBCDRAFT_289342), mRNA"
XM_044858071	"Fusarium poae uncharacterized protein (FPOAC1_013730), partial mRNA"
XM_041830962	"Fusarium mangiferae uncharacterized protein (FMAN_07351), partial mRNA"
XM_059611893	"Fusarium oxysporum Fo47 uncharacterized protein (FOBCDRAFT_296543), partial mRNA"
XM_059610952	"Fusarium oxysporum Fo47 uncharacterized protein (FOBCDRAFT_251647), partial mRNA"
XM_046190820	"Fusarium redolens ankyrin repeat-containing domain protein (BKA55DRAFT_545449), partial mRNA"
XM_025726929	"Fusarium venenatum uncharacterized protein (FVRRES_11746), partial mRNA"
XM_018394837	"Fusarium oxysporum f. sp. lycopersici 4287 uncharacterized protein (FOXG_14775), partial mRNA"
CP023106	Fusarium fujikuroi strain I1.3 chromosome VI
CP147679	Fusarium graminearum strain KSU23522 chromosome 3
XM_059610952	"Fusarium oxysporum Fo47 uncharacterized protein (FOBCDRAFT_251647), partial mRNA"
XM_011329765	"Fusarium graminearum PH-1 uncharacterized protein (FGSG_09640), partial mRNA"
CP128285	Fusarium oxysporum strain Fo5176 chromosome3
XM_018394360	"Fusarium oxysporum f. sp. lycopersici 4287 uncharacterized protein (FOXG_14292), mRNA"
XM_044858071	"Fusarium poae uncharacterized protein (FPOAC1_013730), partial mRNA"
XM_059611893	"Fusarium oxysporum Fo47 uncharacterized protein (FOBCDRAFT_296543), partial mRNA"
XM_059611743	"Fusarium oxysporum Fo47 uncharacterized protein (FOBCDRAFT_289342), mRNA"
XM_059610952	"Fusarium oxysporum Fo47 uncharacterized protein (FOBCDRAFT_251647), partial mRNA"
XM_046190820	"Fusarium redolens ankyrin repeat-containing domain protein (BKA55DRAFT_545449), partial mRNA"
XM_018394840	"Fusarium oxysporum f. sp. lycopersici 4287 uncharacterized protein (FOXG_14777), partial mRNA"
XM_018394839	"Fusarium oxysporum f. sp. lycopersici 4287 uncharacterized protein (FOXG_14777), mRNA"
XM_018394031	"Fusarium oxysporum f. sp. lycopersici 4287 uncharacterized protein (FOXG_13958), partial mRNA"
XM_018392459	"Fusarium oxysporum f. sp. lycopersici 4287 uncharacterized protein (FOXG_12633), partial mRNA"
XM_018392402	"Fusarium oxysporum f. sp. lycopersici 4287 uncharacterized protein (FOXG_12582), partial mRNA"
XM_018394837	"Fusarium oxysporum f. sp. lycopersici 4287 uncharacterized protein (FOXG_14775), partial mRNA"
XM_018394836	"Fusarium oxysporum f. sp. lycopersici 4287 uncharacterized protein (FOXG_14775), mRNA"
XM_018394840	"Fusarium oxysporum f. sp. lycopersici 4287 uncharacterized protein (FOXG_14777), partial mRNA"
XM_018394839	"Fusarium oxysporum f. sp. lycopersici 4287 uncharacterized protein (FOXG_14777), mRNA"
XM_018394031	"Fusarium oxysporum f. sp. lycopersici 4287 uncharacterized protein (FOXG_13958), partial mRNA"
XM_018392459	"Fusarium oxysporum f. sp. lycopersici 4287 uncharacterized protein (FOXG_12633), partial mRNA"
XM_059611893	"Fusarium oxysporum Fo47 uncharacterized protein (FOBCDRAFT_296543), partial mRNA"
XM_011329765	"Fusarium graminearum PH-1 uncharacterized protein (FGSG_09640), partial mRNA"
CP079830	Fusarium graminearum strain FG-12 chromosome 4
XM_059611743	"Fusarium oxysporum Fo47 uncharacterized protein (FOBCDRAFT_289342), mRNA"
XM_018394840	"Fusarium oxysporum f. sp. lycopersici 4287 uncharacterized protein (FOXG_14777), partial mRNA"
XM_018394840	"Fusarium oxysporum f. sp. lycopersici 4287 uncharacterized protein (FOXG_14777), partial mRNA"
