Name	Description
XM_046197507	"Fusarium redolens uncharacterized protein (BKA55DRAFT_658104), partial mRNA"
XM_018394164	"Fusarium oxysporum f. sp. lycopersici 4287 uncharacterized protein (FOXG_14101), partial mRNA"
XM_046197387	"Fusarium redolens uncharacterized protein (BKA55DRAFT_654079), partial mRNA"
XM_018392228	"Fusarium oxysporum f. sp. lycopersici 4287 uncharacterized protein (FOXG_12436), mRNA"
XM_018394214	"Fusarium oxysporum f. sp. lycopersici 4287 uncharacterized protein (FOXG_14149), mRNA"
XM_003039545	"Fusarium vanettenii 77-13-4 uncharacterized protein (NECHADRAFT_123039), partial mRNA"
XM_046189168	"Fusarium redolens uncharacterized protein (BKA55DRAFT_530791), partial mRNA"
XM_046188855	"Fusarium redolens uncharacterized protein (BKA55DRAFT_526576), partial mRNA"
XM_031210122	"Fusarium odoratissimum NRRL 54006 uncharacterized protein (FOIG_09834), partial mRNA"
XM_031192836	"Fusarium oxysporum Fo47 uncharacterized protein (FOBCDRAFT_147764), partial mRNA"
XM_018394600	"Fusarium oxysporum f. sp. lycopersici 4287 uncharacterized protein (FOXG_14545), partial mRNA"
XM_018385685	"Fusarium oxysporum f. sp. lycopersici 4287 uncharacterized protein (FOXG_07053), partial mRNA"
XM_018395064	"Fusarium oxysporum f. sp. lycopersici 4287 uncharacterized protein (FOXG_14993), partial mRNA"
CP104062	Fusarium falciforme strain Fu3.1 chromosome 13
XM_053159885	"Fusarium falciforme Hypothetical protein (NCS54_01475600), partial mRNA"
XM_046200138	"Fusarium redolens uncharacterized protein (BKA55DRAFT_695300), partial mRNA"
XM_031218382	"Fusarium odoratissimum NRRL 54006 uncharacterized protein (FOIG_16902), partial mRNA"
