Name	Description
MK906621	"Fusarium oxysporum isolate Fus125 secreted in xylem 7 (SIX7) gene, complete cds"
MK906620	"Fusarium oxysporum isolate Fus062 secreted in xylem 7 (SIX7) gene, complete cds"
MN078961	"Fusarium oxysporum f. sp. narcissi isolate FOXN63 secreted in xylem 7 gene, complete cds"
MK906622	"Fusarium oxysporum isolate Fus127 secreted in xylem 7 (SIX7) gene, complete cds"
LT222054	"Fusarium graminearum genome assembly, chromosome: II"
KP964970	"Fusarium oxysporum f. sp. dianthi isolate R207 secreted in xylem 7 (SIX7) gene, complete cds"
KM893930	"Fusarium oxysporum f. sp. canariensis isolate RBG2240 secreted in xylem 7 (SIX7) gene, partial cds"
XM_023577243	"Fusarium fujikuroi IMI 58289 related to mfs-multidrug-resistance transporter (FFUJ_07035), partial mRNA"
XM_018383047	"Fusarium oxysporum f. sp. lycopersici 4287 uncharacterized protein (FOXG_04987), partial mRNA"
CP104257	Fusarium vorosii strain RN1 chromosome 3
MH743181	"Fusarium oxysporum f. sp. canariensis isolate PLM908A secreted in xylem 7 (SIX7) gene, partial cds"
MK906619	"Fusarium oxysporum isolate Fol3 secreted in xylem 7 (SIX7) gene, complete cds"
MK906617	"Fusarium oxysporum isolate Fol1 secreted in xylem 7 (SIX7) gene, complete cds"
XM_031234346	"Fusarium proliferatum ET1 uncharacterized protein (FPRO_07581), partial mRNA"
XM_031209557	"Fusarium odoratissimum NRRL 54006 uncharacterized protein (FOIG_09317), partial mRNA"
MK906618	"Fusarium oxysporum isolate Fol2 secreted in xylem 7 (SIX7) gene, complete cds"
MH743164	"Fusarium oxysporum f. sp. canariensis isolate PLM408A secreted in xylem 7 (SIX7) gene, partial cds"
CP147679	Fusarium graminearum strain KSU23522 chromosome 3
CP114041	Fusarium verticillioides strain 7600 chromosome 1
CP114043	Fusarium verticillioides strain 7600 chromosome 3
XM_041830760	"Fusarium mangiferae uncharacterized protein (FMAN_07169), partial mRNA"
CP114042	Fusarium verticillioides strain 7600 chromosome 2
XM_036684449	"Fusarium subglutinans polyamine transporter 4 (FSUBG_6269), partial mRNA"
KP964969	"Fusarium oxysporum f. sp. pisi isolate FOP1 secreted in xylem 7 (SIX7) gene, complete cds"
GQ268960	"Fusarium oxysporum f. sp. lilii isolate NRRL 28395 secreted in xylem 7-like protein (SIX7) gene, complete cds"
XM_037352232	"Fusarium tjaetaba polyamine transporter 4 (FTJAE_5698), partial mRNA"
CP114048	Fusarium verticillioides strain 7600 chromosome 8
CP079833	Fusarium graminearum strain FG-12 chromosome 1
CP114051	Fusarium verticillioides strain 7600 chromosome 11
XM_044823712	"Fusarium musae uncharacterized protein (J7337_006046), partial mRNA"
XM_018394377	"Fusarium oxysporum f. sp. lycopersici 4287 uncharacterized protein (FOXG_14306), partial mRNA"
CP079904	Fusarium verticillioides isolate ITEM 10027 chromosome 1
CP126886	Fusarium meridionale strain JX18-4 contig 3
CP069140	Verticillium nonalfalfae strain WCS 072 chromosome 4
CP010982	"Verticillium dahliae VdLs.17 chromosome 3, complete sequence"
CP114050	Fusarium verticillioides strain 7600 chromosome 10
CP088257	Fusarium asiaticum strain KCTC 16664 chromosome 1
CP088259	Fusarium asiaticum strain KCTC 16664 chromosome 3
CP088258	Fusarium asiaticum strain KCTC 16664 chromosome 2
MH764405	"Fusarium oxysporum f. sp. lycopersici isolate PLM905 secreted in xylem 7 (SIX7) gene, complete cds"
CP114044	Fusarium verticillioides strain 7600 chromosome 4
XM_011321090	"Fusarium graminearum PH-1 uncharacterized protein (FGSG_10418), mRNA"
LN649229	"Fusarium venenatum strain A3/5 genome assembly, chromosome: I"
FJ755836	"Fusarium oxysporum f. sp. lycopersici secreted in xylem Six7 (SIX7) mRNA, complete cds"
CP079914	Fusarium verticillioides isolate ITEM 10027 chromosome 11
CP079912	Fusarium verticillioides isolate ITEM 10027 chromosome 9
LC648775	"Fusarium oxysporum f. sp. pisi YPPS 9-1-M-2 SIX7 gene for secreted in xylem 7, complete cds"
CP079911	Fusarium verticillioides isolate ITEM 10027 chromosome 8
LN649231	"Fusarium venenatum strain A3/5 genome assembly, chromosome: III"
LN649230	"Fusarium venenatum strain A3/5 genome assembly, chromosome: II"
XM_046197636	"Fusarium redolens major facilitator superfamily domain-containing protein (BKA55DRAFT_662530), partial mRNA"
XM_009653005	"Verticillium dahliae VdLs.17 uncharacterized protein (VDAG_02352), partial mRNA"
CP114046	Fusarium verticillioides strain 7600 chromosome 6
CP104258	Fusarium vorosii strain RN1 chromosome 4
CP064755	Fusarium pseudograminearum strain Class2-1C chromosome 3
CP104255	Fusarium vorosii strain RN1 chromosome 1
CP064750	Fusarium culmorum strain Class2-1B chromosome 4
LT598659	"Fusarium culmorum genome assembly, chromosome: I"
CP147672	Fusarium graminearum strain KSU23473 chromosome 1
LT222053	"Fusarium graminearum genome assembly, chromosome: I"
HG970332	"Fusarium graminearum chromosome 1, complete genome"
CP147677	Fusarium graminearum strain KSU23522 chromosome 1
CP087871	Fusarium graminearum strain PH-1 chromosome 1
CP126884	Fusarium meridionale strain JX18-4 contig 1
CP102997	Fusarium pseudograminearum strain Fp22-2 chromosome 1
CP079906	Fusarium verticillioides isolate ITEM 10027 chromosome 3
CP079913	Fusarium verticillioides isolate ITEM 10027 chromosome 10
CP079909	Fusarium verticillioides isolate ITEM 10027 chromosome 6
CP151266	Fusarium acuminatum isolate 1A chromosome 7
XM_065615763	"Fusarium solani uncharacterized protein (MRS44_017873), partial mRNA"
CP126885	Fusarium meridionale strain JX18-4 contig 2
CP104261	Fusarium vorosii strain W15A1 chromosome 3
XM_046256834	"Ilyonectria robusta uncharacterized protein (BGZ61DRAFT_594247), partial mRNA"
CP151261	Fusarium acuminatum isolate 1A chromosome 2
CP109670	Fusarium avenaceum strain WV21P1A chromosome 1
XM_046237835	"Ilyonectria robusta uncharacterized protein (BGZ61DRAFT_194016), mRNA"
XM_065615255	"Fusarium solani uncharacterized protein (MRS44_018747), partial mRNA"
XM_065617423	"Fusarium solani uncharacterized protein (MRS44_013986), partial mRNA"
CP104262	Fusarium vorosii strain W15A1 chromosome 4
CP128284	Fusarium oxysporum strain Fo5176 chromosome 10
CP104059	Fusarium falciforme strain Fu3.1 chromosome 10
CP023105	Fusarium fujikuroi strain I1.3 chromosome V
CP090039	Fusarium solani-melongenae strain CRI 24-3 chromosome 11
CP115884	Fusarium oxysporum f. sp. cubense strain race 4 chromosome 10
CP115885	Fusarium oxysporum f. sp. cubense strain race 4 chromosome 11
CP115883	Fusarium oxysporum f. sp. cubense strain race 4 chromosome 9
CP115875	Fusarium oxysporum f. sp. cubense strain race 4 chromosome 1
XM_022428839	"Pochonia chlamydosporia 170 hypothetical protein (VFPPC_12618), partial mRNA"
XM_003044103	"Fusarium vanettenii 77-13-4 uncharacterized protein (NECHADRAFT_55227), partial mRNA"
CP151263	Fusarium acuminatum isolate 1A chromosome 4
XM_018290421	"Pochonia chlamydosporia 170 hypothetical protein (VFPPC_18639), partial mRNA"
CP114047	Fusarium verticillioides strain 7600 chromosome 7
CP052907	Fusarium oxysporum f. sp. koae isolate 44 chromosome 13
CP126887	Fusarium meridionale strain JX18-4 contig 4
CP079908	Fusarium verticillioides isolate ITEM 10027 chromosome 5
CP023100	Fusarium fujikuroi strain Augusto2 chromosome XII
HF679034	"Fusarium fujikuroi IMI 58289 draft genome, chromosome FFUJ_chr12"
CP023112	Fusarium fujikuroi strain I1.3 chromosome XII
CP128292	Fusarium oxysporum strain Fo5176 chromosome 7
CP079916	Fusarium verticillioides isolate ITEM 10027 chromosome 13
CP023088	Fusarium fujikuroi strain CSV1 chromosome XII
CP052887	Fusarium oxysporum isolate 170 chromosome 4
KP213325	Fusarium oxysporum f. sp. lycopersici isolate IPO1530/B1 genomic sequence
CP088260	Fusarium asiaticum strain KCTC 16664 chromosome 4
CP151265	Fusarium acuminatum isolate 1A chromosome 6
XM_003044146	"Fusarium vanettenii 77-13-4 uncharacterized protein (NECHADRAFT_88564), partial mRNA"
CP079915	Fusarium verticillioides isolate ITEM 10027 chromosome 12
CP115886	Fusarium oxysporum f. sp. cubense strain race 4 chromosome 12
CP115878	Fusarium oxysporum f. sp. cubense strain race 4 chromosome 4
CP115876	Fusarium oxysporum f. sp. cubense strain race 4 chromosome 2
CP115881	Fusarium oxysporum f. sp. cubense strain race 4 chromosome 7
XM_031218184	"Fusarium odoratissimum NRRL 54006 uncharacterized protein (FOIG_16710), partial mRNA"
CP103000	Fusarium pseudograminearum strain Fp22-2 chromosome 4
CP130306	Fusarium oxysporum f. sp. vasinfectum isolate ME23 chromosome 10
CP052899	Fusarium oxysporum f. sp. koae isolate 44 chromosome 4
HF679025	"Fusarium fujikuroi IMI 58289 draft genome, chromosome FFUJ_chr03"
CP023091	Fusarium fujikuroi strain Augusto2 chromosome III
CP130297	Fusarium oxysporum f. sp. vasinfectum isolate ME23 chromosome 1
LT598660	"Fusarium culmorum genome assembly, chromosome: II"
Nucleotide alignment (modified) extraction	8 nucleotide sequences
